"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1","2025-01-28T09:03:59.911+01:00","2025-02-04T09:07:46.555+01:00",28,"com.strava.stravaride","dgtzuqphqg23d.cloudfront.net","",2,1,"AppInitiated"
"2","2025-01-28T13:33:07.098+01:00","2025-02-03T17:15:24.861+01:00",10,"com.strava.stravaride","config.mapbox.com","",2,1,"AppInitiated"
"3","2025-01-28T13:40:42.521+01:00","2025-02-04T09:56:58.001+01:00",62,"com.strava.stravaride","cdn.branch.io","",2,1,"AppInitiated"
"4","2025-01-28T15:04:31.013+01:00","2025-02-04T08:49:49.240+01:00",20,"com.strava.stravaride","inappcheck.itunes.apple.com","",2,1,"AppInitiated"
"5","2025-01-28T21:24:58.392+01:00","2025-02-04T09:12:20.097+01:00",42,"com.strava.stravaride","d3o5xota0a1fcr.cloudfront.net","",2,1,"AppInitiated"
"6","2025-01-28T21:24:57.409+01:00","2025-02-04T09:56:57.881+01:00",90,"com.strava.stravaride","events.mapbox.com","",2,1,"AppInitiated"
"7","2025-01-28T21:25:06.909+01:00","2025-02-03T16:29:48.256+01:00",36,"com.strava.stravaride","phoots.strava.com","",2,1,"AppInitiated"
"8","2025-01-28T21:25:03.077+01:00","2025-02-04T09:50:02.559+01:00",36,"com.strava.stravaride","dgalywyr863hv.cloudfront.net","",2,1,"AppInitiated"
"9","2025-01-28T21:24:57.406+01:00","2025-02-04T09:56:57.872+01:00",78,"com.strava.stravaride","cdn-1.strava.com","",2,1,"AppInitiated"
"10","2025-01-28T21:24:57.402+01:00","2025-02-04T09:56:57.835+01:00",83,"com.strava.stravaride","c.strava.com","",2,1,"AppInitiated"
"11","2025-01-28T21:25:10.235+01:00","2025-02-04T09:50:02.517+01:00",22,"com.strava.stravaride","graphql.strava.com","",2,1,"AppInitiated"
"12","2025-01-28T21:25:22.041+01:00","2025-02-04T09:57:01.760+01:00",38,"com.strava.stravaride","platform-lookaside.fbsbx.com","",2,1,"AppInitiated"
"13","2025-01-29T02:08:46.085+01:00","2025-02-04T09:56:57.875+01:00",72,"com.strava.stravaride","api3.branch.io","",2,1,"AppInitiated"
"14","2025-01-29T02:08:46.160+01:00","2025-02-04T09:50:02.501+01:00",21,"com.strava.stravaride","heatmap-external-c.strava.com","",2,1,"AppInitiated"
"15","2025-01-29T02:08:45.729+01:00","2025-02-04T09:56:57.877+01:00",48,"com.strava.stravaride","ingest.sentry.io","Functional Software, Inc.",1,1,"AppInitiated"
"16","2025-01-29T02:08:48.495+01:00","2025-02-04T09:56:57.879+01:00",74,"com.strava.stravaride","chat.stream-io-api.com","",2,1,"AppInitiated"
"17","2025-01-29T02:08:46.797+01:00","2025-02-04T09:57:01.560+01:00",61,"com.strava.stravaride","graph.facebook.com","Facebook, Inc.",1,1,"AppInitiated"
"18","2025-01-29T02:08:47.120+01:00","2025-02-04T09:50:02.523+01:00",14,"com.strava.stravaride","mzstorekit.itunes.apple.com","",2,1,"AppInitiated"
"19","2025-01-29T02:08:46.240+01:00","2025-02-04T09:50:02.487+01:00",18,"com.strava.stravaride","amp-api-edge.apps.apple.com","",2,1,"AppInitiated"
"20","2025-01-29T11:04:12.814+01:00","2025-01-29T11:04:12.814+01:00",1,"com.strava.stravaride","firebaseinstallations.googleapis.com","",2,1,"AppInitiated"
"21","2025-01-29T14:15:19.706+01:00","2025-02-03T18:30:54.130+01:00",23,"com.strava.stravaride","o352714.ingest.sentry.io","Functional Software, Inc.",1,1,"AppInitiated"
"22","2025-01-30T09:21:56.944+01:00","2025-02-03T16:41:20.892+01:00",3,"com.strava.stravaride","lh3.googleusercontent.com","",2,1,"AppInitiated"
"23","2025-01-30T16:48:12.464+01:00","2025-02-03T17:15:24.829+01:00",11,"com.strava.stravaride","www.strava.com","",2,1,"AppInitiated"
"24","2025-01-30T16:48:12.566+01:00","2025-02-03T17:15:24.853+01:00",3,"com.strava.stravaride","api.mapbox.com","",2,1,"AppInitiated"
"25","2025-01-31T14:24:29.016+01:00","2025-02-03T14:15:22.128+01:00",3,"com.strava.stravaride","d3nn82uaxijpm6.cloudfront.net","",2,1,"AppInitiated"
"26","2025-02-02T16:03:43.877+01:00","2025-02-02T16:03:43.877+01:00",1,"com.strava.stravaride","strava-photo-uploads-prod.s3-accelerate.amazonaws.com","",2,1,"AppInitiated"
"27","2025-02-03T16:30:27.298+01:00","2025-02-04T09:10:36.897+01:00",11,"com.strava.stravaride","manifest-gcp-us-east4-vop1.fastly.mux.com","",2,1,"AppInitiated"
"28","2025-02-03T16:29:58.029+01:00","2025-02-04T09:57:01.573+01:00",20,"com.strava.stravaride","stream.mux.com","",2,1,"AppInitiated"
"29","2025-02-03T16:30:27.529+01:00","2025-02-03T18:30:54.243+01:00",11,"com.strava.stravaride","chunk-gcp-us-east4-vop1.fastly.mux.com","",2,1,"AppInitiated"
"30","2025-02-03T16:29:58.250+01:00","2025-02-04T09:57:01.932+01:00",17,"com.strava.stravaride","manifest-gcp-us-east1-vop1.fastly.mux.com","",2,1,"AppInitiated"
"31","2025-02-03T16:29:58.860+01:00","2025-02-04T09:50:06.154+01:00",21,"com.strava.stravaride","chunk-gcp-us-east1-vop1.cfcdn.mux.com","",2,1,"AppInitiated"
"32","2025-02-03T16:29:57.951+01:00","2025-02-03T21:45:59.744+01:00",13,"com.strava.stravaride","image.mux.com","",2,1,"AppInitiated"
"33","2025-02-03T16:30:04.296+01:00","2025-02-04T09:56:57.843+01:00",20,"com.strava.stravaride","chunk-gcp-us-east1-vop1.fastly.mux.com","",2,1,"AppInitiated"
"34","2025-02-03T16:46:47.309+01:00","2025-02-04T09:10:37.255+01:00",11,"com.strava.stravaride","chunk-gcp-us-east4-vop1.cfcdn.mux.com","",2,1,"AppInitiated"
