"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1","2025-01-28T10:32:05.080+01:00","2025-01-28T10:32:05.080+01:00",1,"swiss.ricardo.iphone","sync.outbrain.com","",2,1,"AppInitiated"
"2","2025-01-28T17:18:30.955+01:00","2025-02-01T17:21:41.287+01:00",7,"swiss.ricardo.iphone","acdn.adnxs.com","",2,1,"AppInitiated"
"3","2025-01-28T17:17:58.089+01:00","2025-02-03T10:53:44.833+01:00",21,"swiss.ricardo.iphone","app-analytics-services.com","",2,1,"AppInitiated"
"4","2025-01-28T17:19:23.303+01:00","2025-02-01T17:23:48.221+01:00",4,"swiss.ricardo.iphone","reporting.aatkit.com","",2,1,"AppInitiated"
"5","2025-01-28T17:18:00.173+01:00","2025-02-03T10:53:35.911+01:00",34,"swiss.ricardo.iphone","img.ricardostatic.ch","",2,1,"AppInitiated"
"6","2025-01-28T17:17:58.150+01:00","2025-02-03T01:07:01.101+01:00",21,"swiss.ricardo.iphone","eservice.emarsys.net","SAP SE",1,1,"AppInitiated"
"7","2025-01-28T17:17:58.145+01:00","2025-02-03T01:07:01.127+01:00",11,"swiss.ricardo.iphone","g.doubleclick.net","Google LLC",1,1,"AppInitiated"
"8","2025-01-28T17:17:58.132+01:00","2025-02-03T10:53:35.883+01:00",59,"swiss.ricardo.iphone","api.ricardo.ch","",2,1,"AppInitiated"
"9","2025-01-28T17:17:58.148+01:00","2025-02-03T10:53:35.857+01:00",55,"swiss.ricardo.iphone","firebaselogging-pa.googleapis.com","Google LLC",1,1,"AppInitiated"
"10","2025-01-28T17:17:58.081+01:00","2025-02-03T10:53:35.897+01:00",15,"swiss.ricardo.iphone","login.ricardo.ch","",2,1,"AppInitiated"
"11","2025-01-28T17:19:23.301+01:00","2025-02-03T10:53:52.493+01:00",43,"swiss.ricardo.iphone","tracking.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"12","2025-01-28T17:17:58.134+01:00","2025-02-02T20:00:12.354+01:00",18,"swiss.ricardo.iphone","rules.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"13","2025-01-28T17:18:12.654+01:00","2025-02-03T10:53:49.405+01:00",48,"swiss.ricardo.iphone","region1.app-analytics-services.com","",2,1,"AppInitiated"
"14","2025-01-28T17:17:58.095+01:00","2025-02-03T10:53:35.841+01:00",39,"swiss.ricardo.iphone","firebaseremoteconfigrealtime.googleapis.com","",2,1,"AppInitiated"
"15","2025-01-28T17:18:30.983+01:00","2025-02-01T17:21:41.227+01:00",4,"swiss.ricardo.iphone","ib.adnxs-simple.com","",2,1,"AppInitiated"
"16","2025-01-28T17:27:57.014+01:00","2025-01-31T09:37:30.640+01:00",11,"swiss.ricardo.iphone","ekr.zdassets.com","",2,1,"AppInitiated"
"17","2025-01-28T17:27:57.401+01:00","2025-01-31T09:37:31.066+01:00",12,"swiss.ricardo.iphone","tr.snapchat.com","Snap Inc.",1,1,"AppInitiated"
"18","2025-01-28T17:27:56.877+01:00","2025-01-31T09:37:30.766+01:00",13,"swiss.ricardo.iphone","bat.bing.com","Microsoft Corporation",1,1,"AppInitiated"
"19","2025-01-28T17:27:56.690+01:00","2025-01-31T09:37:30.660+01:00",11,"swiss.ricardo.iphone","fast.appcues.com","",2,1,"AppInitiated"
"20","2025-01-28T17:27:56.800+01:00","2025-01-31T09:13:19.662+01:00",8,"swiss.ricardo.iphone","tags.creativecdn.com","",2,1,"AppInitiated"
"21","2025-01-28T17:27:57.721+01:00","2025-01-31T09:37:31.218+01:00",13,"swiss.ricardo.iphone","t.teads.tv","",2,1,"AppInitiated"
"22","2025-01-28T17:27:57.255+01:00","2025-01-31T09:37:30.855+01:00",13,"swiss.ricardo.iphone","ade.googlesyndication.com","",2,1,"AppInitiated"
"23","2025-01-28T17:27:56.903+01:00","2025-01-31T09:37:30.757+01:00",15,"swiss.ricardo.iphone","api.marketing.swissmarketplace.group","",2,1,"AppInitiated"
"24","2025-01-28T17:27:56.817+01:00","2025-01-31T09:13:19.665+01:00",7,"swiss.ricardo.iphone","s.pinimg.com","",2,1,"AppInitiated"
"25","2025-01-28T17:27:57.323+01:00","2025-01-31T09:37:30.748+01:00",13,"swiss.ricardo.iphone","recommender.scarabresearch.com","",2,1,"AppInitiated"
"26","2025-01-28T17:27:57.236+01:00","2025-01-31T09:37:30.742+01:00",14,"swiss.ricardo.iphone","ib.adnxs.com","Microsoft Corporation",1,1,"AppInitiated"
"27","2025-01-28T17:27:56.856+01:00","2025-01-31T09:37:30.713+01:00",11,"swiss.ricardo.iphone","sc-static.net","",2,1,"AppInitiated"
"28","2025-01-28T17:28:05.858+01:00","2025-02-02T20:00:21.919+01:00",18,"swiss.ricardo.iphone","gspe19-2-ssl.ls.apple.com","",2,1,"AppInitiated"
"29","2025-01-28T17:27:57.258+01:00","2025-01-31T09:37:30.730+01:00",13,"swiss.ricardo.iphone","ams.creativecdn.com","",2,1,"AppInitiated"
"30","2025-01-28T17:27:55.828+01:00","2025-01-31T09:37:29.912+01:00",12,"swiss.ricardo.iphone","static.ricardo.ch","",2,1,"AppInitiated"
"31","2025-01-28T17:27:50.112+01:00","2025-02-03T01:07:01.099+01:00",19,"swiss.ricardo.iphone","rules3.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"32","2025-01-28T17:27:56.584+01:00","2025-01-31T09:13:18.610+01:00",8,"swiss.ricardo.iphone","static.zdassets.com","",2,1,"AppInitiated"
"33","2025-01-28T17:27:56.548+01:00","2025-01-31T09:37:30.381+01:00",11,"swiss.ricardo.iphone","www.googletagmanager.com","Google LLC",1,1,"AppInitiated"
"34","2025-01-28T17:27:56.804+01:00","2025-01-31T09:37:30.652+01:00",13,"swiss.ricardo.iphone","pagead2.googlesyndication.com","Google LLC",1,1,"AppInitiated"
"35","2025-01-28T17:27:57.288+01:00","2025-01-31T09:37:31.010+01:00",17,"swiss.ricardo.iphone","api.appcues.net","",2,1,"AppInitiated"
"36","2025-01-28T17:27:57.252+01:00","2025-01-31T09:37:30.869+01:00",13,"swiss.ricardo.iphone","region1.google-analytics.com","Google LLC",1,1,"AppInitiated"
"37","2025-01-28T17:27:57.540+01:00","2025-01-31T09:37:30.975+01:00",12,"swiss.ricardo.iphone","ricardo20.zendesk.com","",2,1,"AppInitiated"
"38","2025-01-28T17:27:57.319+01:00","2025-01-31T09:13:20.912+01:00",4,"swiss.ricardo.iphone","static.scarabresearch.com","",2,1,"AppInitiated"
"39","2025-01-28T17:27:56.828+01:00","2025-01-31T09:37:30.736+01:00",13,"swiss.ricardo.iphone","www.google-analytics.com","Google LLC",1,1,"AppInitiated"
"40","2025-01-28T17:27:56.897+01:00","2025-01-31T09:37:30.717+01:00",11,"swiss.ricardo.iphone","amplify.outbrain.com","",2,1,"AppInitiated"
"41","2025-01-28T17:27:57.798+01:00","2025-01-28T17:27:57.798+01:00",1,"swiss.ricardo.iphone","ssp-csync.smartadserver.com","",2,1,"AppInitiated"
"42","2025-01-28T17:27:56.850+01:00","2025-01-31T09:13:19.830+01:00",9,"swiss.ricardo.iphone","cdn.scarabresearch.com","",2,1,"AppInitiated"
"43","2025-01-28T17:27:57.367+01:00","2025-01-31T09:37:30.991+01:00",14,"swiss.ricardo.iphone","cm.teads.tv","",2,1,"AppInitiated"
"44","2025-01-28T17:27:55.834+01:00","2025-01-31T09:37:29.867+01:00",12,"swiss.ricardo.iphone","fonts.gstatic.com","",2,1,"AppInitiated"
"45","2025-01-28T17:27:56.888+01:00","2025-01-31T09:37:30.720+01:00",11,"swiss.ricardo.iphone","p.teads.tv","",2,1,"AppInitiated"
"46","2025-01-28T17:27:57.772+01:00","2025-01-31T09:37:31.425+01:00",13,"swiss.ricardo.iphone","tr6.snapchat.com","Snap Inc.",1,1,"AppInitiated"
"47","2025-01-28T17:27:55.840+01:00","2025-01-31T09:37:29.922+01:00",3,"swiss.ricardo.iphone","static.cloudflareinsights.com","",2,1,"AppInitiated"
"48","2025-01-28T17:27:54.521+01:00","2025-01-31T09:37:28.712+01:00",13,"swiss.ricardo.iphone","www.ricardo.ch","",2,1,"AppInitiated"
"49","2025-01-28T17:27:57.442+01:00","2025-01-31T09:37:30.764+01:00",13,"swiss.ricardo.iphone","ct.pinterest.com","",2,1,"AppInitiated"
"50","2025-01-29T08:41:54.811+01:00","2025-02-03T10:53:35.895+01:00",13,"swiss.ricardo.iphone","launches.appsflyer.com","AppsFlyer",1,1,"AppInitiated"
"51","2025-01-29T08:41:54.840+01:00","2025-02-03T10:53:35.889+01:00",13,"swiss.ricardo.iphone","cdn.cookielaw.org","",2,1,"AppInitiated"
